Location_Code,Whole_House_Pct,Flat_Pct
E01027566,0.9574468085106383,0.0425531914893617
E01027583,0.9252013808975834,0.07479861910241657
E01027584,0.8413098236775819,0.1574307304785894
E01027591,0.9337662337662338,0.05194805194805195
E01027597,0.8668478260869565,0.1331521739130435
E01027599,0.8827085852478839,0.11729141475211609
E01027623,0.9338842975206612,0.05619834710743802
E01027625,0.8236744759556104,0.17385943279901356
E01027598,0.9686800894854586,0.02237136465324385
E01027618,0.9587534372135655,0.035747021081576534
E01027624,0.994392523364486,0.003738317757009346
E01027626,0.9570063694267515,0.01910828025477707
E01027627,0.9666666666666667,0.01954022988505747
E01027590,0.8485742379547689,0.14847590953785644
E01027592,0.9619289340101523,0.03299492385786802
E01027613,0.9541616405307599,0.039806996381182146
E01027617,0.9666666666666667,0.03125
E01027605,0.7045735475896168,0.2954264524103832
E01027606,0.9215406562054208,0.07845934379457917
E01027608,0.7664907651715039,0.23087071240105542
E01027609,0.8974820143884892,0.10251798561151079
E01027610,0.881201044386423,0.11879895561357702
E01027611,0.857889237199582,0.14106583072100312
E01027612,0.9313471502590673,0.06865284974093264
E01027616,0.8529411764705882,0.14705882352941177
E01027603,0.9608323133414932,0.03671970624235006
E01027604,0.9683944374209861,0.02654867256637168
E01027607,0.9963963963963964,0.0036036036036036037
E01027614,0.9947735191637631,0.005226480836236934
E01027615,0.9961013645224172,0.003898635477582846
E01027587,0.986046511627907,0.013953488372093023
E01027588,0.8753424657534247,0.12465753424657534
E01027589,0.9366576819407008,0.06064690026954178
E01027593,0.9547169811320755,0.03773584905660377
E01027628,0.9924146649810367,0.006321112515802781
E01027633,0.9683313032886723,0.031668696711327646
E01033065,0.974,0.022
E01033066,0.9882352941176471,0.010084033613445379
E01027620,0.8904933814681107,0.10830324909747292
E01027630,0.7242798353909465,0.2757201646090535
E01027631,0.8365921787709497,0.1634078212290503
E01027632,0.9671592775041051,0.021346469622331693
E01027637,0.949944382647386,0.04338153503893215
E01027621,0.9171539961013645,0.05555555555555555
E01027629,0.9093799682034976,0.0890302066772655
E01027635,0.9328512396694215,0.0506198347107438
E01027636,0.9561497326203209,0.019251336898395723
E01027594,0.8811096433289299,0.11889035667107001
E01027595,0.8858625162127107,0.10894941634241245
E01027596,0.8846657929226737,0.1127129750982962
E01027601,0.9180722891566265,0.014457831325301205
E01027622,0.98,0.01764705882352941
E01027600,0.980440097799511,0.01589242053789731
E01027619,0.9829659318637275,0.012024048096192385
E01027634,0.9850374064837906,0.00997506234413965
E01027666,0.9844961240310077,0.015503875968992248
E01027667,0.956081081081081,0.03885135135135135
E01027685,0.8562783661119516,0.1437216338880484
E01027686,0.9865642994241842,0.011516314779270634
E01027712,0.973384030418251,0.026615969581749048
E01027713,0.7144607843137255,0.2818627450980392
E01027714,0.6430379746835443,0.3189873417721519
E01027715,0.9039301310043668,0.09388646288209607
E01027643,0.8338235294117647,0.03823529411764706
E01027688,0.9553072625698324,0.013966480446927373
E01027736,0.9855072463768116,0.010144927536231883
E01027737,0.9906832298136646,0.009316770186335404
E01027705,0.8548387096774194,0.14516129032258066
E01027706,0.5656759348034516,0.4324065196548418
E01027707,0.8233173076923077,0.12259615384615384
E01027708,0.9320695102685624,0.0679304897314376
E01027709,0.9694072657743786,0.028680688336520075
